"bidid","itemid","userid","bidamount","bidtime"
1,1,1,"210.00","2024-01-16 10:00:00"
2,1,3,"220.00","2024-01-17 14:00:00"
3,2,5,"160.00","2024-02-11 11:00:00"
4,2,7,"170.00","2024-02-12 15:00:00"
5,3,9,"55.00","2024-03-06 09:00:00"
6,4,11,"5050.00","2024-03-10 16:30:00"
7,4,13,"5100.00","2024-03-11 17:45:00"
8,5,15,"250.00","2024-04-02 12:00:00"
9,5,17,"260.00","2024-04-03 13:15:00"
10,6,19,"1100.00","2024-04-19 14:30:00"
11,6,21,"1200.00","2024-04-20 15:45:00"
12,7,23,"1300.00","2024-05-22 16:00:00"
13,7,25,"1350.00","2024-05-23 17:15:00"
14,8,27,"850.00","2024-06-11 18:30:00"
15,8,29,"900.00","2024-06-12 19:45:00"
16,9,31,"120.00","2024-07-26 20:00:00"
17,9,33,"130.00","2024-07-27 21:15:00"
18,10,35,"270.00","2024-08-16 22:30:00"
19,10,37,"280.00","2024-08-17 23:45:00"
20,11,39,"90.00","2024-10-01 10:30:00"
21,11,1,"100.00","2024-10-02 11:45:00"
22,12,3,"160.00","2024-10-11 12:00:00"
23,12,5,"170.00","2024-10-12 13:15:00"
24,13,7,"210.00","2024-11-23 14:30:00"
25,13,9,"220.00","2024-11-24 15:45:00"
26,14,11,"150.00","2024-12-06 16:00:00"
27,14,13,"160.00","2024-12-07 17:15:00"
28,15,15,"3200.00","2024-12-16 18:30:00"
29,15,17,"3300.00","2024-12-17 19:45:00"
30,16,19,"205.00","2024-01-11 20:00:00"
