"buyerid","preferredpaymentmethod"
1,"Credit Card"
3,"PayPal"
5,"Bank Transfer"
7,"Credit Card"
9,"PayPal"
11,"Credit Card"
13,"Bank Transfer"
15,"PayPal"
17,"Credit Card"
19,"Bank Transfer"
21,"PayPal"
23,"Credit Card"
25,"Bank Transfer"
27,"PayPal"
29,"Credit Card"
31,"Bank Transfer"
33,"PayPal"
35,"Credit Card"
37,"Bank Transfer"
39,"PayPal"
2,"Credit Card"
4,"PayPal"
6,"Bank Transfer"
8,"Credit Card"
10,"PayPal"
12,"Credit Card"
14,"Bank Transfer"
16,"PayPal"
18,"Credit Card"
20,"Bank Transfer"
