"transactionid","itemid","buyerid","sellerid","transactiondate","finalprice"
1,1,1,2,"2024-01-23",8097
2,2,5,4,"2024-02-18",7471
3,3,9,6,"2024-03-13",7906
4,4,3,8,"2024-04-01",5524
5,5,7,10,"2024-05-15",5010
6,6,11,12,"2024-06-05",8688
7,7,13,14,"2024-07-19",7648
8,8,15,16,"2024-08-25",9199
9,9,17,18,"2024-09-13",8268
10,10,19,20,"2024-10-10",6549
11,11,21,22,"2024-11-01",7093
12,12,23,24,"2024-12-05",5439
13,13,25,26,"2024-01-15",6677
14,14,27,28,"2024-02-10",6355
15,15,29,30,"2024-03-01",8665
16,16,31,32,"2024-04-12",7240
17,17,33,34,"2024-05-07",8884
18,18,35,36,"2024-06-18",5887
19,19,37,38,"2024-07-25",9121
20,20,39,40,"2024-08-15",6160
21,21,2,1,"2024-09-05",5396
22,22,4,3,"2024-10-20",5294
23,23,6,5,"2024-11-12",8176
24,24,8,7,"2024-12-04",6219
25,25,10,9,"2024-01-28",7027
26,26,12,11,"2024-02-19",9975
27,27,14,13,"2024-03-10",7954
28,28,16,15,"2024-04-21",5683
29,29,18,17,"2024-05-13",8282
30,30,20,19,"2024-06-17",6408
