"watchlistid","userid","itemid","addeddate"
1,1,1,"2024-01-15"
2,3,2,"2024-02-10"
3,5,3,"2024-03-05"
4,7,4,"2024-04-01"
5,9,5,"2024-05-21"
6,2,6,"2024-06-10"
7,4,7,"2024-07-25"
8,6,8,"2024-08-15"
9,8,9,"2024-09-30"
10,10,10,"2024-10-10"
11,11,11,"2024-11-22"
12,12,12,"2024-12-05"
13,13,13,"2024-01-10"
14,14,14,"2024-01-25"
15,15,15,"2024-02-08"
16,16,16,"2024-02-20"
17,17,17,"2024-03-01"
18,18,18,"2024-03-12"
19,19,19,"2024-03-25"
20,20,20,"2024-04-05"
21,21,21,"2024-04-15"
22,22,22,"2024-05-01"
23,23,23,"2024-05-20"
24,24,24,"2024-06-05"
25,25,25,"2024-06-18"
26,26,26,"2024-07-10"
27,27,27,"2024-07-25"
28,28,28,"2024-08-01"
29,29,29,"2024-08-15"
30,30,30,"2024-09-01"
